Date,Time,Classification_Code,Crime_Cat,Cat_Num,Latitude,Longitude
1/25/2017,10:30:00,112,FELONY,0,40.74923788,-73.977661006
2/3/2017,15:20:00,344,MISDEMEANOR,2,40.856235315,-73.885039598
6/17/2017,5:00:00,106,FELONY,0,40.756167883,-73.913012636
6/17/2017,20:13:00,361,MISDEMEANOR,2,40.602745951,-73.750077865
8/28/2017,16:15:00,106,FELONY,0,40.648443859,-73.893275246
8/15/2017,18:30:00,578,VIOLATION,1,40.687698296,-73.872976723
2/1/2017,13:00:00,344,MISDEMEANOR,2,40.836616288,-73.939303085
8/9/2017,21:00:00,578,VIOLATION,1,40.837778868,-73.919450746
6/11/2017,17:30:00,107,FELONY,0,40.733343522,-73.713761489
8/19/2017,12:40:00,341,MISDEMEANOR,2,40.759869755,-73.828970412
5/20/2017,0:45:00,355,MISDEMEANOR,2,40.739954393,-74.006100008
1/2/2017,18:17:00,361,MISDEMEANOR,2,40.546899985,-74.148671509
8/16/2017,21:00:00,344,MISDEMEANOR,2,40.613968846,-73.988526091
4/5/2017,14:30:00,351,MISDEMEANOR,2,40.72906475,-73.811020132
2/27/2017,12:20:00,344,MISDEMEANOR,2,40.699539271,-73.91103807
3/1/2017,9:30:00,578,VIOLATION,1,40.7443536,-73.986497118
7/26/2017,17:40:00,105,FELONY,0,40.76046491,-73.983732411
6/6/2017,11:40:00,109,FELONY,0,40.762500356,-73.965899319
8/8/2017,5:35:00,106,FELONY,0,40.673474705,-73.918160305
9/4/2017,19:30:00,341,MISDEMEANOR,2,40.626074745,-74.136934533
9/4/2017,13:50:00,344,MISDEMEANOR,2,40.757408966,-73.82613961
4/9/2017,13:30:00,344,MISDEMEANOR,2,40.69048022,-73.779436814
9/11/2017,21:00:00,341,MISDEMEANOR,2,40.802251166,-73.942245685
3/10/2017,6:00:00,578,VIOLATION,1,40.833308287,-73.816740834
4/30/2017,18:14:00,105,FELONY,0,40.623008962,-73.959046975
2/20/2017,17:45:00,126,FELONY,0,40.857790719,-73.898788413
6/1/2017,0:01:00,351,MISDEMEANOR,2,40.70734618,-73.954778757
8/28/2017,13:30:00,361,MISDEMEANOR,2,40.794241067,-73.935235376
5/4/2017,22:00:00,351,MISDEMEANOR,2,40.729033199,-73.890429339
3/2/2017,20:20:00,113,FELONY,0,40.664416386,-73.891022091
8/21/2017,4:50:00,344,MISDEMEANOR,2,40.74759008,-73.884396999
1/14/2017,2:07:00,344,MISDEMEANOR,2,40.706964238,-73.904644069
8/5/2017,19:00:00,341,MISDEMEANOR,2,40.705553203,-73.953164148
6/20/2017,12:00:00,361,MISDEMEANOR,2,40.810398494,-73.924895311
3/15/2017,12:00:00,361,MISDEMEANOR,2,40.80707632,-73.947847719
5/28/2017,2:00:00,359,MISDEMEANOR,2,40.671644058,-73.863360523
9/16/2017,19:06:00,351,MISDEMEANOR,2,40.836281924,-73.917923904
6/11/2017,16:30:00,121,FELONY,0,40.646529505,-73.960333425
8/25/2017,14:45:00,578,VIOLATION,1,40.824941106,-73.952819968
7/9/2017,14:05:00,344,MISDEMEANOR,2,40.693950704,-73.809226436
1/11/2017,17:30:00,344,MISDEMEANOR,2,40.865750264,-73.901863888
9/22/2017,13:35:00,344,MISDEMEANOR,2,40.631042017,-73.909407272
9/10/2017,23:30:00,105,FELONY,0,40.827888685,-73.875191502
4/10/2017,13:10:00,351,MISDEMEANOR,2,40.805965489,-73.920395906
2/16/2017,21:30:00,107,FELONY,0,40.677120216,-73.947037221
6/19/2017,2:44:00,344,MISDEMEANOR,2,40.728837065,-73.865895146
