id,name,latitude,longitude,price
26362,"Times Square, Safe, Clean and Cozy!",40.755265907,-73.9929090386,59
26520,"Large Cozy Room #3, Landmark Home 1 Block to PRATT",40.686980852,-73.9657180734,125
26540,Studio Apartment/Work Space in East Village,40.7264440491,-73.9860300356,200
26559,Beautiful Apartment East Village,40.7288007948,-73.9819234871,140
26785,Park Slope Green Guest House,40.6685347529,-73.9891160069,135
26864,Nice room in Prime W.Burg Location,40.7210117905,-73.9612057418,90
26954,NYC fabulous views Manhattan's eye,40.7429398242,-73.9800948656,199
26969,2 story family home in Williamsburg,40.7194173214,-73.9574786361,295
27006,Prime UWS 2-BD Family-Friendly Brownstone,40.7782270223,-73.9763677443,235
27024,"Priv Apt,Garden,BBQ,A/C,BigTV,for 4",40.7496814592,-74.0005222263,125
27385,Great Large 1 BR apt  in East Village!,40.7255516681,-73.9796537274,225
27531,Eveland Private Bed & Living Room w/ Own Entrance,40.6683106559,-73.9860411541,99
27644,Sugar Hill Rest Stop ,40.8275377697,-73.9491876196,170
27659,3 Story Town House in Park Slope,40.6649877742,-73.9792489523,400
27759,apartment next to Central park,40.7784209166,-73.975559659,170
27883,East Village Sanctuary,40.7224486928,-73.985269608,100
28083,SPECTACULAR view in a modern condo!,40.7184833668,-73.9515880762,149
28321,Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,40.6559323748,-73.9605302929,75
28342,Scarlett Room--5 min. Grand Central,40.7421472681,-73.9527490259,125
28383,[2311-1] Lux 1 BR at Beekman Tower-5 Min. to U.N.,40.754663361,-73.9662025991,369
28396,Modern Apt with Spectacular Views,40.7192259287,-73.9646786964,90
28907,Garden studio in the Upper East Sid,40.7780049669,-73.9482154867,150
29012,Big Room in Beautiful Huge Apt,40.858791407,-73.9312847709,85
29013,B & B Room 1,40.6833179823,-73.9546964834,60
29414,Modern & Quiet Studio Downtown Manhattan!,40.7246666045,-73.9871445983,185
29455,ACCOMMODATIONS GALORE #1,40.8161757395,-73.9489419504,125
29594,Sunny private house with yard in trendy area,40.7125645267,-73.9395204922,96
29628,Sunny Room in New Condo,40.6841368136,-73.9635097274,89
30031,NYC artists’ loft with roof deck,40.7349449892,-73.9502990318,50
30222,Lovely Boerum Hill - PrivateTerrace,40.6859912453,-73.9907714652,105
30589,Sunny Williamsburg Penthouse,40.7125988254,-73.9500120679,119
30927,Unique & Charming small 1br Apt. LES,40.7134126781,-73.9885550435,105
30970,Classic Williamsburg,40.7159238253,-73.9385501526,80
31130,Most Central Location!,40.767540752,-73.9839872982,230
31425,"Bedroom, Private Ensuite Bath, Breakfast",40.7837630809,-73.978060495,155
31555,Luminous Beautiful West Village Studio,40.7344203759,-74.0030267918,125
31902,Sanctuary in East Flatbush,40.6318830456,-73.9324832506,77
31994,Room with En Suite Bathroom & Deck,40.6873045923,-73.9633989037,85
32023,FLAT MACDONOUGH,40.6829567726,-73.9366195615,125
32037,Huge Private  Floor at The Waverly,40.6863002138,-73.9676476196,125
32100,"Modern Greenpoint, Brooklyn Apt",40.734087074,-73.9534799503,275
32244,Ergonomic Parkside East Village 1BR,40.7252935096,-73.9847145047,200
32289,"Sun-drenched, artsy modernist 1+ BR",40.7156109658,-73.9483457894,199
32329,Fully Furnished Beautiful 1 Bedroom,40.7289533731,-73.9837665827,160
32331,"Sunny, Cobble Hill Apartment",40.6857041252,-73.9918271545,140
32363,Fully Furnished Basement Apartment,40.7402797968,-73.8316786778,140
32965,FLAT MACDONOUGH GARDEN,40.6828130405,-73.9352418186,115
33009,Retreat in Williamsburg,40.7149195595,-73.9593513801,195
33156,"Sunny, clean Zen Studio pr.Bath UWS",40.7884852851,-73.9688264537,132
33223,Cozy BR in Wiliamsburg 3 Bedroom,40.7116524894,-73.9608694946,78
33525,Single bedroom in a nice area,40.7110737309,-73.8293245275,105
34760,"Sunny Room in Townhouse, Historic Brooklyn",40.6910109669,-73.9731157005,44
35526,Sun Filled Classic West Village Apt,40.7347412316,-74.0010066733,156
35950,Charming Rental in Brooklyn Heights,40.6965523034,-73.9900779008,150
35963,Great 1 br Apt! Next to Manhattan!,40.7094831836,-73.9531502228,95
36121,Lg Rm in Historic Prospect Heights,40.6738632664,-73.9664097219,85
36133,Classic Artist Loft Williamsburg,40.7153558563,-73.9605680824,135
36442,"Great location! Spacious, Prospect Park",40.6741037907,-73.9659547082,115
36647,Private Bdrm/Bathrm. New! Elevator!,40.7929510376,-73.9399733988,69
36934,Great location in Williamsburg,40.7136323067,-73.9639796232,100
37197,bright east village apt in hot area,40.7212480445,-73.9817663756,155
38638,Light and Airy Upper East Side 1 BDR apartment,40.7771107384,-73.9527045811,219
38663,Luxury Brownstone in Boerum Hill,40.6855896647,-73.9809353409,475
38780,Great room to stay ,40.8546190691,-73.9317089648,60
38833,Spectacular West Harlem Garden Apt,40.81695221,-73.9460286102,69
39267,CENTRAL PARK LOFT all for YOU,40.7745623076,-73.9532316249,99
39282,Indie-Chic Share In Williamsburg,40.7108814604,-73.9505496772,69
39572,1 br in a 2 br apt (Midtown West),40.7623304994,-73.9885407242,119
39704,"Private, Large & Sunny 1BR w/W&D",40.6830609479,-73.946585802,135
39755,Spacious 2BR 2.5BA Upper West Side ,40.8003089802,-73.9680334404,250
40039,Luxurious Condo in DUBMO with View,40.7020650737,-73.9857102494,250
40084,Spacious Artist's Bedroom,40.6569960107,-73.9575205008,36
40248,Summer in Manhattan! Hip Harlem,40.8077426883,-73.9543452238,325
40453,Charming & Cozy midtown loft any weeks !!!,40.7612301783,-73.9641959851,250
41348,* Spacious GARDEN Park Slope Duplex* 6 people max,40.6685759798,-73.9908275746,250
