index,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,Safety
48660,23524241,Charming master suite,81203628,Suzanne,Brooklyn,Sheepshead Bay,40.58933148,-73.95686651,Private room,58,2,0,,,1,27,2
12062,6799864,NYC apt -FREE - in exchange for dog sitting,35595560,Lisa,Manhattan,Washington Heights,40.85690472,-73.93741468,Entire home/apt,60,2,6,8/19/2016,0.19,1,0,5
31303,17437106,Couch in Harlem Harvey Refugees only,33511962,Morgan,Manhattan,Harlem,40.81302145,-73.95348654,Shared room,60,1,0,,,1,0,5
32251,17979764,Jen Apt,84497333,Jennifer,Manhattan,SoHo,40.72236592,-73.99817405,Private room,60,5,2,4/15/2017,0.18,1,0,5
35449,19415314,Shared funny cozy room one block from Times Square,47336995,Mario,Manhattan,Hell's Kitchen,40.75812163,-73.98934698,Shared room,60,1,2,6/24/2017,0.23,1,0,5
42035,21633621,Charming Harlem studio,1679545,Ishai,Manhattan,Harlem,40.81272102,-73.95170043,Entire home/apt,60,1,1,1/18/2018,0.65,1,0,5
44922,22251353,Tompkin's Square Townhouse,162595765,Olivia,Manhattan,East Village,40.72859796,-73.98724639,Private room,60,1,0,,,1,0,5
34299,18985328,$10 a night!,946656,Paloma,Manhattan,Inwood,40.86724093,-73.91844214,Entire home/apt,60,24,0,,,1,28,4
37357,20140519,Private master bedroom w. excellent queen bed.,50591874,John,Brooklyn,Prospect-Lefferts Gardens,40.65552451,-73.95702204,Private room,60,1,3,12/15/2017,0.43,2,0,4
43034,21839514,"Cat Sitter for Charming, Sun-Filled One Bedroom",7499009,Emma,Brooklyn,Park Slope,40.67384194,-73.97271623,Entire home/apt,60,16,2,12/13/2017,0.6,1,13,4
48106,23329332,Bright Shared Living Room in our Beautiful Home!!,173754495,Michee,Brooklyn,Cypress Hills,40.67833455,-73.89337707,Shared room,60,1,0,,,1,0,4
32208,17952277,"Newly renovated, fully furnished room in Brooklyn",62685070,Katie,Brooklyn,Bushwick,40.69973768,-73.91934784,Private room,60,5,0,,,1,0,3
33968,18835820,"Quiet, Cozy UES Studio Near the Subway",52777892,Amy,Manhattan,Upper East Side,40.76843896,-73.95340982,Entire home/apt,60,2,4,12/31/2017,0.43,1,0,3
37247,20076606,"Cozy, quiet, simple Bed-Stuy brownstone room",19811406,Jamiles,Brooklyn,Bedford-Stuyvesant,40.68239056,-73.91186866,Private room,60,3,10,1/20/2018,1.35,2,0,3
39699,20983193,The Milky Way - Entire Home,10415735,Angie,Queens,Howard Beach,40.6604182,-73.85718709,Entire home/apt,60,2,8,1/30/2018,1.85,2,360,3
47430,23068430,Just this side of Manhattan,40188920,Robin,Queens,Maspeth,40.72068951,-73.9073546,Private room,60,1,0,,,1,28,3
33223,18490141,IT'S SIMPLY CONVENIENT!,97001292,Maria,Queens,Jamaica,40.69085057,-73.79915844,Entire home/apt,60,3,15,1/16/2018,1.62,1,365,2
38040,20409141,Gorgeous upscale 2bdrm apt w/ HUGE private terrace,18209809,Ashley,Brooklyn,Greenpoint,40.73223935,-73.95274473,Entire home/apt,60,2,6,2/1/2018,1.1,1,339,2
43180,21869057,Spacious 2-bedroom Apt in Heart of Greenpoint,11967922,Vishanti,Brooklyn,Greenpoint,40.7242112,-73.95363564,Entire home/apt,60,1,12,2/25/2018,3.64,1,39,2
44674,22205900,Litle Heaven (10 min from LGA Airport),161649169,Ketty,Queens,Flushing,40.76644816,-73.82784852,Entire home/apt,60,1,1,12/13/2017,0.37,1,88,2
